Date,Country,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks,CTR,CPC (USD),Average Viewable Time,Page CTR,Ad request RPM (USD)
2025-12-06,美国,0.22,60,3.63,197,1.10,0.4388,16,0.0812,0.01,34.6154,0.2667,0.76
2025-12-01,美国,0.17,61,2.78,179,0.95,0.4972,1,0.0056,0.17,34.7496,0.0164,0.53
2025-12-02,美国,0.13,61,2.08,126,1.01,0.608,0,0,,39.1224,0,0.40
2025-12-04,美国,0.13,44,3.02,141,0.94,0.4468,1,0.0071,0.13,35.509,0.0227,0.62
2025-12-07,美国,0.13,33,3.94,125,1.04,0.5403,1,0.008,0.13,30.816,0.0303,0.71
2025-12-05,美国,0.11,38,2.80,158,0.67,0.4557,0,0,,37.5898,0,0.51
2025-12-02,西班牙,0.10,72,1.42,320,0.32,0.4625,0,0,,47.3241,0,0.23
2025-12-03,美国,0.07,32,2.31,99,0.75,0.4848,1,0.0101,0.07,13.5887,0.0312,0.42
2025-12-06,德国,0.05,5,9.50,27,1.76,0.5926,0,0,,18.1876,0,1.58
2025-12-07,德国,0.04,15,2.34,81,0.43,0.5309,0,0,,61.0562,0,0.37
2025-12-02,英国,0.03,15,2.21,53,0.63,0.5094,0,0,,34.3834,0,0.38
2025-12-02,澳大利亚,0.02,5,3.77,29,0.65,0.4138,0,0,,21.7462,0,0.57
2025-12-03,英国,0.02,4,4.60,19,0.97,0.3158,0,0,,42.931,0,0.68
2025-12-04,德国,0.02,11,1.55,54,0.32,0.4444,0,0,,37.4762,0,0.24
2025-12-06,中国,0.02,64,0.27,83,0.21,0.7831,1,0.012,0.02,34.563,0.0156,0.06
2025-12-06,英国,0.02,3,5.51,15,1.10,0.4667,0,0,,12.7317,0,0.97
2025-12-06,墨西哥,0.02,2,7.95,13,1.22,0.4615,0,0,,33.7093,0,0.99
2025-12-01,中国,0.01,40,0.35,77,0.18,0.8,0,0,,72.1036,0,0.07
2025-12-01,爱尔兰,0.01,1,13.18,5,2.64,0.8,0,0,,,0,1.65
2025-12-01,加拿大,0.01,5,1.69,20,0.42,0.55,0,0,,9.7092,0,0.26
2025-12-01,澳大利亚,0.01,5,1.63,17,0.48,0.5294,0,0,,18.1624,0,0.34
2025-12-01,英国,0.01,13,0.61,27,0.29,0.6296,0,0,,28.982,0,0.16
2025-12-01,乌克兰,0.01,4,1.85,13,0.57,0.5385,0,0,,27.4114,0,0.35
2025-12-01,比利时,0.01,2,2.57,5,1.03,0.4,0,0,,5.6895,0,0.73
2025-12-02,日本,0.01,3,2.57,17,0.45,0.75,1,0.0588,0.01,34.2831,0.3333,0.34
2025-12-02,加拿大,0.01,5,1.42,17,0.42,0.7647,0,0,,15.4418,0,0.26
2025-12-03,加拿大,0.01,4,2.85,25,0.46,0.48,0,0,,22.8917,0,0.38
2025-12-03,德国,0.01,9,1.09,32,0.31,0.375,1,0.0312,0.01,133.5856,0.1111,0.20
2025-12-03,西班牙,0.01,5,1.43,11,0.65,0.4545,0,0,,28.297,0,0.29
2025-12-03,澳大利亚,0.01,3,2.24,9,0.75,0.2222,0,0,,24.1915,0,0.52
2025-12-04,英国,0.01,6,2.46,29,0.51,0.2759,0,0,,87.205,0,0.37
2025-12-04,西班牙,0.01,5,1.95,14,0.70,0.1667,0,0,,,0,0.49
2025-12-04,克罗地亚,0.01,1,9.64,10,0.96,0.9,0,0,,27.7538,0,0.96
2025-12-04,阿根廷,0.01,4,2.24,6,1.50,0.8333,2,0.3333,0.00,32.4928,0.5,0.90
2025-12-04,瑞士,0.01,2,3.66,7,1.05,0.7143,0,0,,13.9718,0,0.49
2025-12-04,澳大利亚,0.01,5,1.33,14,0.48,0.5714,0,0,,70.8392,0,0.32
2025-12-04,中国,0.01,31,0.20,49,0.12,0.7551,0,0,,16.9673,0,0.03
2025-12-04,加拿大,0.01,3,1.87,18,0.31,0.5556,0,0,,111.2674,0,0.24
2025-12-05,加拿大,0.01,5,2.51,19,0.66,0.4211,0,0,,44.4709,0,0.48
2025-12-05,中国,0.01,28,0.41,43,0.27,0.7209,0,0,,23.4035,0,0.08
2025-12-05,西班牙,0.01,7,1.51,26,0.41,0.5769,0,0,,24.5923,0,0.24
2025-12-05,英国,0.01,4,2.41,14,0.69,0.6429,0,0,,109.4625,0,0.54
2025-12-05,法国,0.01,6,1.50,28,0.32,0.5,0,0,,16.6067,0,0.24
2025-12-05,波兰,0.01,3,2.52,19,0.40,0.8421,0,0,,35.6275,0,0.38
2025-12-05,德国,0.01,7,0.91,27,0.24,0.4815,0,0,,9.6502,0,0.15
2025-12-05,奥地利,0.01,1,5.09,7,0.73,0.4286,0,0,,180,0,0.73
2025-12-06,加拿大,0.01,2,3.10,6,1.03,0.3333,0,0,,100.227,0,0.62
2025-12-06,新加坡,0.01,3,1.79,2,2.68,1,0,0,,17.6635,0,0.67
2025-12-07,奥地利,0.01,3,4.31,19,0.68,0.4211,0,0,,32.2752,0,0.56
2025-12-07,澳大利亚,0.01,4,3.13,22,0.57,0.5,0,0,,10.3639,0,0.50
2025-12-07,中国,0.01,56,0.20,80,0.14,0.825,0,0,,36.7434,0,0.04
2025-12-07,英国,0.01,1,5.75,7,0.82,0.7143,0,0,,18.1268,0,0.72
2025-12-01,德国,0.00,2,2.34,13,0.36,0.4615,0,0,,34.4645,0,0.28
2025-12-01,印度尼西亚,0.00,10,0.40,18,0.22,0.6111,0,0,,62.8848,0,0.07
2025-12-01,墨西哥,0.00,6,0.65,13,0.30,0.4167,0,0,,8.0858,0,0.12
2025-12-01,捷克,0.00,1,3.53,8,0.44,0.5,0,0,,42.367,0,0.44
2025-12-01,西班牙,0.00,3,0.98,4,0.74,1,1,0.25,0.00,37.7593,0.3333,0.20
2025-12-01,日本,0.00,3,0.90,13,0.21,0.7692,0,0,,2.8628,0,0.13
2025-12-01,印度,0.00,20,0.10,17,0.12,0.7647,0,0,,6.1963,0,0.02
2025-12-01,秘鲁,0.00,3,0.62,6,0.31,0.3333,0,0,,7.6975,0,0.14
2025-12-01,新加坡,0.00,1,1.80,1,1.80,1,0,0,,20.043,0,0.45
2025-12-01,智利,0.00,1,1.33,4,0.33,0.75,0,0,,,0,0.15
2025-12-01,丹麦,0.00,1,1.26,3,0.42,1,0,0,,4.9937,0,0.42
2025-12-01,越南,0.00,2,0.52,8,0.13,0.875,0,0,,7.6399,0,0.06
2025-12-01,巴西,0.00,38,0.02,6,0.15,1,0,0,,6.3915,0,0.00
2025-12-01,匈牙利,0.00,2,0.42,10,0.08,0.1,0,0,,14.782,0,0.08
2025-12-01,肯尼亚,0.00,1,0.72,5,0.14,0.2,0,0,,7.555,0,0.07
2025-12-01,菲律宾,0.00,7,0.10,7,0.10,1,0,0,,62.316,0,0.02
2025-12-01,挪威,0.00,2,0.24,7,0.07,0.4286,0,0,,23.4917,0,0.04
2025-12-01,埃及,0.00,2,0.23,2,0.23,0.5,0,0,,3.695,0,0.04
2025-12-01,格鲁吉亚,0.00,3,0.14,2,0.20,0.5,0,0,,78.439,0,0.04
2025-12-01,泰国,0.00,1,0.37,2,0.18,1,0,0,,14.953,0,0.06
2025-12-01,巴基斯坦,0.00,5,0.03,1,0.14,1,0,0,,11.88,0,0.00
2025-12-01,台湾,0.00,1,0.13,2,0.06,0.5,0,0,,10.488,0,0.02
2025-12-01,孟加拉国,0.00,8,0.01,1,0.10,1,0,0,,4.479,0,0.00
2025-12-01,圭亚那,0.00,1,0.09,1,0.09,1,0,0,,1.266,0,0.03
2025-12-01,南非,0.00,2,0.02,1,0.04,0,0,0,,,0,0.00
2025-12-01,沙特阿拉伯,0.00,3,0.01,1,0.02,0,0,0,,,0,0.00
2025-12-01,阿尔及利亚,0.00,1,0.02,1,0.02,0,0,0,,,0,0.01
2025-12-01,阿根廷,0.00,6,0.00,0,,,0,,,,0,0.00
2025-12-01,马来西亚,0.00,4,0.00,0,,,0,,,,0,0.00
2025-12-01,委内瑞拉,0.00,4,0.00,0,,,0,,,,0,0.00
2025-12-01,埃塞俄比亚,0.00,3,0.00,0,,,0,,,,0,0.00
2025-12-01,厄瓜多尔,0.00,3,0.00,0,,,0,,,,0,0.00
2025-12-01,约旦,0.00,3,0.00,0,,,0,,,,0,0.00
2025-12-01,巴拉圭,0.00,2,0.00,0,,,0,,,,0,0.00
2025-12-01,摩洛哥,0.00,2,0.00,0,,,0,,,,0,0.00
2025-12-01,阿拉伯联合酋长国,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,阿曼,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,巴勒斯坦,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,布基纳法索,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,哥伦比亚,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,洪都拉斯,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,吉尔吉斯斯坦,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,卢森堡,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,尼加拉瓜,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,尼日利亚,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,塞尔维亚,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,塞内加尔,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,索马里,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,特立尼达和多巴哥,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,乌干达,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,乌兹别克斯坦,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,希腊,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,牙买加,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,伊拉克,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,以色列,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-01,意大利,0.00,1,0.00,0,,,0,,,,0,0.00
2025-12-02,中国,0.00,29,0.12,35,0.10,0.9714,0,0,,41.6227,0,0.02
2025-12-02,德国,0.00,4,0.79,20,0.16,0.5,0,0,,44.8323,0,0.12
2025-12-02,印度,0.00,19,0.16,14,0.21,0.5714,0,0,,4.8549,0,0.04
2025-12-02,南非,0.00,5,0.47,7,0.34,0.4286,0,0,,13.787,0,0.09
2025-12-02,新加坡,0.00,2,0.86,4,0.43,0.75,0,0,,24.3747,0,0.19
2025-12-02,哥伦比亚,0.00,5,0.30,7,0.21,1,0,0,,24.2213,0,0.05
2025-12-02,斯里兰卡,0.00,1,1.32,3,0.44,1,0,0,,4.8637,0,0.16
2025-12-02,奥地利,0.00,1,1.04,4,0.26,0.25,0,0,,,0,0.26
2025-12-02,土耳其,0.00,4,0.24,2,0.47,0.5,0,0,,5.405,0,0.06
2025-12-02,菲律宾,0.00,4,0.16,9,0.07,0.8889,0,0,,11.6797,0,0.03
2025-12-02,乌克兰,0.00,1,0.59,4,0.15,0.25,0,0,,15.093,0,0.07
2025-12-02,比利时,0.00,1,0.54,1,0.54,1,0,0,,6.238,0,0.27
2025-12-02,墨西哥,0.00,3,0.17,3,0.17,0.3333,0,0,,1.584,0,0.02
2025-12-02,马来西亚,0.00,5,0.10,3,0.17,0.3333,0,0,,,0,0.01
2025-12-02,印度尼西亚,0.00,3,0.13,3,0.13,0.6667,0,0,,49.809,0,0.02
2025-12-02,意大利,0.00,1,0.31,1,0.31,1,0,0,,10.908,0,0.08
2025-12-02,伊拉克,0.00,8,0.04,2,0.15,0,0,0,,,0,0.01
2025-12-02,阿根廷,0.00,9,0.03,4,0.07,0.25,0,0,,2.645,0,0.01
2025-12-02,新西兰,0.00,1,0.27,2,0.13,1,0,0,,21.098,0,0.07
2025-12-02,台湾,0.00,1,0.26,3,0.09,0,0,0,,,0,0.03
2025-12-02,约旦,0.00,2,0.12,2,0.12,1,0,0,,28.3765,0,0.02
2025-12-02,巴基斯坦,0.00,5,0.03,2,0.07,0.5,0,0,,1.015,0,0.01
2025-12-02,巴西,0.00,37,0.00,2,0.04,0.5,0,0,,11.507,0,0.00
2025-12-02,喀麦隆,0.00,1,0.08,1,0.08,0,0,0,,,0,0.04
2025-12-02,孟加拉国,0.00,6,0.00,0,,,0,,,,0,0.00
2025-12-02,阿尔及利亚,0.00,3,0.00,0,,,0,,,,0,0.00
2025-12-02,埃及,0.00,3,0.00,0,,,0,,,,0,0.00
2025-12-02,摩洛哥,0.00,3,0.00,0,,,0,,,,0,0.00
